occupation,daily_income,work_days_per_month,monthly_transactions,savings_ratio,income_min,income_max,digital_payment_ratio,loan_history,financial_stability
shopkeeper,1635.78,28,25,0.2671,1199.42,2000.0,0.256,1,stable
street_vendor,650.94,18,24,0.0499,466.31,835.58,0.229,0,unstable
shopkeeper,1217.89,25,63,0.2571,1018.38,1417.4,0.59,1,stable
driver,544.57,18,33,0.2034,500.0,670.49,0.715,1,moderate
street_vendor,822.22,24,20,0.042,687.02,900.0,0.19,0,moderate
delivery_worker,779.52,22,48,0.1375,600.0,986.24,0.914,1,moderate
delivery_worker,1038.06,30,43,0.107,767.7,1308.42,0.88,1,moderate
laborer,666.14,21,6,0.0896,566.14,700.0,0.077,0,moderate
laborer,573.95,18,12,0.0929,452.64,695.26,0.047,0,unstable
delivery_worker,1179.38,27,51,0.1013,977.54,1381.22,0.597,0,moderate
driver,1528.55,20,31,0.1209,1202.91,1600.0,0.608,0,moderate
shopkeeper,1474.15,27,41,0.2131,1113.07,1835.24,0.649,1,stable
shopkeeper,1610.86,25,50,0.4,1442.38,1779.33,0.479,1,stable
delivery_worker,1161.38,26,20,0.119,972.91,1349.85,0.755,1,moderate
street_vendor,892.06,23,11,0.1057,713.49,900.0,0.101,0,moderate
delivery_worker,1042.66,30,44,0.2551,877.13,1208.19,0.904,0,stable
street_vendor,718.57,21,18,0.0376,526.51,900.0,0.271,0,unstable
street_vendor,867.5,24,11,0.1041,748.98,900.0,0.234,0,moderate
driver,1294.53,25,21,0.053,954.05,1600.0,0.576,1,moderate
laborer,395.02,19,8,0.0471,291.54,498.49,0.03,0,unstable
shopkeeper,1948.78,27,47,0.2955,1485.59,2000.0,0.633,1,stable
delivery_worker,1174.44,26,49,0.1294,1013.28,1335.61,0.902,0,stable
delivery_worker,1158.21,24,34,0.3411,1022.35,1294.07,0.503,0,stable
laborer,381.97,16,5,0.0541,278.98,484.96,0.164,0,unstable
driver,1080.18,22,24,0.1817,861.0,1299.36,0.442,0,moderate
driver,1088.3,21,16,0.1004,849.67,1326.93,0.324,0,moderate
shopkeeper,1669.92,23,58,0.0642,1278.92,2000.0,0.301,1,moderate
street_vendor,444.21,23,10,0.0873,328.29,560.12,0.289,1,unstable
shopkeeper,1047.37,21,52,0.2071,893.77,1200.97,0.687,0,moderate
laborer,639.17,14,11,0.0018,550.21,700.0,0.103,0,unstable
laborer,597.31,19,12,0.0598,447.83,700.0,0.04,0,unstable
delivery_worker,849.47,20,51,0.2921,697.15,1001.79,0.819,0,moderate
laborer,257.15,16,12,0.0591,216.46,297.83,0.127,0,unstable
shopkeeper,1043.97,25,58,0.3033,895.71,1192.22,0.59,0,stable
shopkeeper,1432.65,24,34,0.189,1078.59,1786.72,0.523,0,stable
laborer,699.96,23,14,0.0402,569.03,700.0,0.165,0,unstable
driver,1009.55,24,32,0.0662,843.19,1175.91,0.789,0,moderate
laborer,403.62,10,6,0.0557,361.16,446.09,0.17,0,unstable
shopkeeper,1298.66,25,56,0.2591,1057.32,1540.01,0.348,1,moderate
street_vendor,218.22,25,14,0.1184,200.0,250.39,0.269,1,unstable
delivery_worker,1074.35,23,26,0.1347,755.66,1393.04,0.72,1,moderate
delivery_worker,1433.86,24,35,0.1833,1056.01,1800.0,0.779,1,moderate
delivery_worker,1339.63,26,35,0.2325,1022.13,1657.13,0.912,1,stable
street_vendor,774.02,17,21,0.1135,695.15,852.89,0.329,1,unstable
delivery_worker,878.38,26,30,0.1209,631.78,1124.98,0.628,0,moderate
shopkeeper,1808.06,26,49,0.4,1371.4,2000.0,0.399,1,stable
street_vendor,486.35,22,10,0.0527,434.94,537.76,0.227,0,unstable
driver,585.91,21,40,0.0957,500.0,755.03,0.501,1,moderate
shopkeeper,1697.76,29,48,0.1138,1503.79,1891.73,0.63,0,stable
street_vendor,845.89,21,6,0.0852,697.66,900.0,0.127,0,moderate
shopkeeper,1141.55,29,41,0.2393,929.64,1353.45,0.486,0,stable
laborer,520.49,23,15,0.0432,462.13,578.84,0.076,0,unstable
driver,1500.42,18,36,0.1276,1099.24,1600.0,0.576,1,moderate
shopkeeper,877.1,24,66,0.343,757.62,996.57,0.525,1,stable
laborer,385.56,21,9,0.0592,339.55,431.57,0.026,0,unstable
laborer,249.48,23,7,0.0,200.0,308.48,0.136,0,unstable
driver,775.6,22,29,0.1363,646.16,905.04,0.4,0,moderate
laborer,278.59,27,13,0.0377,239.01,318.18,0.044,1,unstable
street_vendor,545.78,17,28,0.0317,461.03,630.53,0.092,0,unstable
driver,1474.47,21,42,0.2037,1257.82,1600.0,0.486,0,moderate
shopkeeper,1626.85,26,66,0.2023,1159.83,2000.0,0.399,0,moderate
driver,783.85,20,22,0.224,694.03,873.67,0.526,1,moderate
delivery_worker,1563.06,24,49,0.229,1229.96,1800.0,0.645,1,stable
driver,550.03,22,37,0.2022,500.0,669.84,0.375,1,moderate
delivery_worker,812.24,22,30,0.1703,623.45,1001.02,0.511,1,moderate
street_vendor,259.18,28,10,0.1076,200.0,336.17,0.219,1,unstable
shopkeeper,1739.86,25,60,0.2074,1243.88,2000.0,0.576,1,stable
laborer,429.67,19,10,0.029,308.71,550.64,0.077,1,unstable
driver,1325.09,18,40,0.2026,1138.4,1511.79,0.319,0,moderate
street_vendor,798.1,24,14,0.0033,624.43,900.0,0.254,0,moderate
street_vendor,228.75,19,14,0.037,202.6,254.89,0.109,1,unstable
laborer,666.98,16,7,0.0197,581.05,700.0,0.188,0,unstable
driver,1368.67,21,39,0.1856,1203.13,1534.21,0.711,0,moderate
shopkeeper,1857.0,22,44,0.1004,1326.59,2000.0,0.257,0,stable
laborer,277.29,14,4,0.0465,201.78,352.79,0.18,1,unstable
driver,946.96,21,21,0.1196,846.32,1047.6,0.426,0,moderate
laborer,418.02,14,11,0.0628,353.33,482.72,0.063,0,unstable
delivery_worker,1189.79,20,27,0.1001,887.11,1492.47,0.568,0,moderate
street_vendor,731.92,21,18,0.151,587.81,876.02,0.222,1,moderate
street_vendor,667.28,25,13,0.2285,552.31,782.26,0.164,0,moderate
street_vendor,818.71,24,21,0.1192,735.99,900.0,0.19,0,moderate
delivery_worker,813.14,26,48,0.2056,705.94,920.34,0.902,0,stable
delivery_worker,1230.59,25,56,0.073,1025.97,1435.21,0.934,0,moderate
laborer,668.89,27,16,0.0724,600.99,700.0,0.154,0,moderate
shopkeeper,705.72,25,49,0.1628,700.0,776.34,0.511,1,moderate
delivery_worker,653.59,24,42,0.0797,600.0,762.76,0.944,0,moderate
laborer,696.68,29,9,0.0442,492.1,700.0,0.166,0,moderate
shopkeeper,1613.51,24,56,0.1913,1211.5,2000.0,0.48,1,stable
street_vendor,805.79,25,26,0.1399,657.88,900.0,0.225,0,moderate
street_vendor,276.72,22,24,0.0117,200.0,353.95,0.327,1,unstable
driver,1123.65,22,42,0.2441,839.49,1407.8,0.721,0,moderate
street_vendor,447.8,26,15,0.0772,313.76,581.85,0.159,1,unstable
laborer,260.72,20,8,0.0701,219.97,301.47,0.194,0,unstable
shopkeeper,1838.71,22,46,0.2062,1590.1,2000.0,0.639,1,stable
street_vendor,589.69,26,20,0.1319,501.48,677.89,0.244,0,moderate
street_vendor,396.94,24,13,0.1593,309.98,483.89,0.314,0,unstable
laborer,446.88,25,9,0.0338,367.28,526.49,0.118,1,unstable
shopkeeper,1712.1,26,67,0.2093,1428.47,1995.73,0.273,1,stable
driver,937.76,21,34,0.0794,800.86,1074.65,0.715,0,moderate
laborer,318.09,16,23,0.0813,262.29,373.88,0.18,0,unstable
street_vendor,835.97,24,18,0.0743,678.58,900.0,0.179,0,moderate
street_vendor,861.3,18,11,0.0694,755.8,900.0,0.318,0,unstable
shopkeeper,1322.31,27,61,0.2852,1162.57,1482.05,0.738,0,stable
shopkeeper,1435.45,25,32,0.3832,1206.49,1664.4,0.401,1,stable
street_vendor,376.9,30,22,0.0025,324.29,429.5,0.176,0,unstable
shopkeeper,1319.1,29,73,0.1563,926.6,1711.61,0.275,0,stable
delivery_worker,1621.71,20,61,0.0973,1153.86,1800.0,0.885,0,stable
shopkeeper,1284.56,26,55,0.154,1084.06,1485.06,0.406,0,moderate
laborer,535.51,17,10,0.0573,412.8,658.21,0.199,0,unstable
laborer,555.06,23,15,0.0758,493.31,616.8,0.16,0,unstable
laborer,313.14,19,11,0.0066,220.74,405.54,0.194,1,unstable
delivery_worker,1197.3,28,51,0.0845,975.07,1419.53,0.559,0,moderate
street_vendor,886.41,22,22,0.0899,655.14,900.0,0.064,0,unstable
street_vendor,300.65,15,13,0.1288,216.29,385.01,0.264,0,unstable
driver,619.69,27,27,0.3252,500.0,797.18,0.451,1,moderate
delivery_worker,1251.08,25,55,0.1089,1015.83,1486.34,0.811,1,moderate
street_vendor,437.12,23,16,0.0606,357.41,516.83,0.056,0,unstable
delivery_worker,1127.03,25,41,0.2309,836.98,1417.08,0.584,0,moderate
shopkeeper,1942.56,23,65,0.3345,1522.87,2000.0,0.714,0,stable
street_vendor,752.89,21,18,0.0066,651.76,854.03,0.103,0,unstable
delivery_worker,949.98,24,53,0.2147,704.6,1195.37,0.947,0,moderate
laborer,217.89,14,5,0.026,200.0,240.43,0.166,0,unstable
shopkeeper,1036.2,26,47,0.3926,865.1,1207.31,0.458,0,moderate
street_vendor,470.1,24,23,0.1678,391.15,549.05,0.138,1,moderate
delivery_worker,1042.29,27,42,0.1807,851.51,1233.07,0.693,0,moderate
shopkeeper,1015.14,23,47,0.2433,792.93,1237.35,0.349,1,moderate
shopkeeper,1618.9,26,36,0.2358,1153.48,2000.0,0.573,0,stable
delivery_worker,1013.61,25,17,0.2372,841.31,1185.91,0.501,0,moderate
laborer,575.86,21,1,0.0089,432.24,700.0,0.034,0,unstable
laborer,204.75,20,11,0.0505,200.0,264.5,0.03,0,unstable
shopkeeper,1154.13,23,40,0.1921,844.02,1464.23,0.258,1,moderate
laborer,527.26,24,7,0.046,447.71,606.81,0.126,0,moderate
street_vendor,489.32,23,11,0.1124,399.26,579.38,0.072,0,unstable
shopkeeper,1384.45,26,46,0.2482,1103.06,1665.83,0.27,0,moderate
delivery_worker,1014.19,22,29,0.1005,909.2,1119.18,0.686,1,moderate
delivery_worker,1151.08,26,53,0.2061,811.76,1490.41,0.694,1,stable
street_vendor,815.53,21,14,0.1272,587.84,900.0,0.147,0,moderate
delivery_worker,1449.78,24,19,0.2726,1079.02,1800.0,0.935,0,stable
driver,1301.42,18,36,0.2074,1081.49,1521.36,0.561,0,moderate
delivery_worker,923.33,22,61,0.0943,720.43,1126.22,0.631,0,moderate
street_vendor,764.15,28,11,0.1345,648.01,880.29,0.255,0,moderate
delivery_worker,1073.82,28,44,0.1203,911.72,1235.93,0.542,0,moderate
shopkeeper,1774.69,25,59,0.2017,1292.86,2000.0,0.261,0,stable
street_vendor,252.36,24,23,0.1195,200.0,327.49,0.124,0,unstable
shopkeeper,756.19,27,39,0.1175,700.0,958.51,0.615,1,moderate
driver,876.72,21,23,0.0478,689.55,1063.89,0.708,1,moderate
shopkeeper,806.86,28,22,0.3189,700.0,940.54,0.27,1,moderate
delivery_worker,1058.71,23,40,0.2169,815.72,1301.7,0.944,1,moderate
laborer,215.43,11,6,0.0441,200.0,244.12,0.081,1,unstable
delivery_worker,955.34,22,50,0.1102,690.44,1220.24,0.775,1,moderate
shopkeeper,1010.73,22,62,0.1927,835.06,1186.4,0.69,1,moderate
driver,1187.73,21,31,0.2243,952.46,1423.0,0.54,0,moderate
driver,1291.66,23,25,0.1616,1133.68,1449.64,0.577,0,moderate
delivery_worker,1126.94,28,47,0.2737,860.94,1392.94,0.642,1,stable
delivery_worker,1091.21,20,55,0.2638,837.71,1344.72,0.512,1,moderate
delivery_worker,1510.27,26,42,0.3317,1194.27,1800.0,0.946,1,stable
delivery_worker,1189.25,23,29,0.1693,1048.58,1329.92,0.788,0,moderate
laborer,607.79,22,10,0.1171,470.74,700.0,0.183,0,moderate
delivery_worker,1228.69,22,34,0.1997,956.42,1500.97,0.548,0,moderate
street_vendor,711.67,25,18,0.0482,519.45,900.0,0.26,0,unstable
laborer,533.32,25,8,0.0297,392.75,673.89,0.028,0,unstable
street_vendor,465.94,21,13,0.1771,344.3,587.57,0.246,1,moderate
driver,698.3,25,35,0.2591,540.91,855.69,0.642,0,moderate
driver,736.64,19,30,0.0501,581.7,891.59,0.473,0,moderate
driver,755.34,16,36,0.1117,672.61,838.07,0.325,0,unstable
delivery_worker,1297.38,22,48,0.1684,956.23,1638.53,0.717,0,moderate
driver,1040.97,17,33,0.172,784.21,1297.74,0.545,1,moderate
laborer,397.81,14,14,0.0302,317.07,478.55,0.137,0,unstable
driver,1429.87,23,29,0.1393,1145.81,1600.0,0.37,1,moderate
driver,533.53,23,34,0.1399,500.0,589.1,0.736,0,moderate
driver,1121.75,20,33,0.1745,1008.24,1235.26,0.415,1,moderate
street_vendor,639.34,27,13,0.1453,460.22,818.46,0.226,0,moderate
laborer,699.57,13,17,0.0,524.84,700.0,0.025,0,unstable
delivery_worker,1716.58,28,30,0.1229,1329.9,1800.0,0.634,0,stable
laborer,472.34,15,14,0.0266,378.69,566.0,0.161,0,unstable
laborer,541.6,22,7,0.0594,435.28,647.93,0.173,1,unstable
driver,663.62,21,31,0.1198,520.7,806.53,0.671,1,moderate
shopkeeper,1341.24,30,39,0.1585,961.36,1721.12,0.399,1,stable
laborer,357.08,26,12,0.0814,294.65,419.52,0.026,1,unstable
laborer,594.69,22,7,0.0543,471.82,700.0,0.066,0,unstable
street_vendor,801.43,30,18,0.0871,574.31,900.0,0.205,0,moderate
driver,1368.93,25,31,0.0447,983.14,1600.0,0.721,1,moderate
driver,1374.13,23,39,0.1416,1186.43,1561.83,0.641,0,moderate
driver,969.97,17,38,0.39,698.5,1241.44,0.331,0,moderate
laborer,288.56,17,12,0.0,229.21,347.91,0.157,0,unstable
laborer,627.99,20,15,0.0846,452.83,700.0,0.119,0,unstable
laborer,524.06,11,6,0.0033,376.45,671.66,0.033,0,unstable
delivery_worker,1193.18,18,52,0.0702,933.44,1452.92,0.895,0,moderate
delivery_worker,1300.33,22,35,0.1647,1159.22,1441.44,0.521,0,stable
delivery_worker,1248.92,24,44,0.2178,949.19,1548.65,0.897,0,stable
shopkeeper,1270.79,25,52,0.3125,902.18,1639.41,0.703,1,stable
street_vendor,609.44,28,15,0.0709,547.01,671.87,0.207,0,moderate
street_vendor,344.51,22,16,0.0385,273.72,415.3,0.226,1,unstable
street_vendor,274.7,24,16,0.0839,217.01,332.39,0.222,0,unstable
delivery_worker,1466.78,30,49,0.2183,1281.62,1651.94,0.785,0,stable
shopkeeper,1748.31,27,37,0.0998,1341.83,2000.0,0.699,1,stable
driver,1268.7,20,36,0.0196,899.57,1600.0,0.434,1,moderate
shopkeeper,1192.38,24,42,0.2926,922.1,1462.65,0.357,0,moderate
street_vendor,669.22,30,20,0.0729,481.69,856.76,0.118,1,moderate
shopkeeper,1355.32,24,56,0.3411,999.56,1711.08,0.52,1,stable
driver,1569.98,19,23,0.1842,1237.08,1600.0,0.304,0,moderate
street_vendor,692.89,30,17,0.05,531.88,853.89,0.331,0,moderate
laborer,342.77,10,7,0.0276,297.73,387.82,0.182,1,unstable
driver,1548.04,21,29,0.1093,1187.48,1600.0,0.525,1,moderate
driver,1553.42,19,33,0.2137,1142.52,1600.0,0.513,0,moderate
driver,683.68,24,17,0.2194,578.75,788.6,0.382,1,moderate
delivery_worker,800.09,22,31,0.183,647.55,952.64,0.828,1,moderate
laborer,382.58,25,9,0.0438,307.66,457.5,0.177,0,unstable
driver,586.69,22,30,0.1483,500.0,686.31,0.381,1,moderate
laborer,644.8,22,15,0.0724,462.75,700.0,0.153,0,unstable
delivery_worker,1592.73,20,42,0.1672,1215.13,1800.0,0.633,0,moderate
driver,1266.38,27,33,0.0787,902.34,1600.0,0.422,0,moderate
driver,609.45,20,39,0.0764,500.0,750.37,0.745,0,moderate
street_vendor,249.31,20,13,0.0853,200.88,297.74,0.163,0,unstable
street_vendor,575.24,21,20,0.1084,441.65,708.83,0.317,0,moderate
delivery_worker,1672.67,27,19,0.1061,1215.77,1800.0,0.92,0,stable
street_vendor,849.77,20,19,0.0488,629.35,900.0,0.262,0,moderate
laborer,342.73,18,8,0.0489,288.05,397.41,0.162,0,unstable
delivery_worker,1624.52,21,51,0.0,1201.29,1800.0,0.652,0,moderate
street_vendor,538.45,27,18,0.097,394.93,681.98,0.203,0,moderate
laborer,307.63,20,6,0.0829,232.65,382.62,0.115,1,unstable
driver,1130.03,22,23,0.1519,996.39,1263.67,0.535,0,moderate
shopkeeper,1635.69,27,36,0.2409,1446.8,1824.58,0.523,0,stable
laborer,573.82,26,13,0.0,418.88,700.0,0.131,0,unstable
delivery_worker,1284.3,23,30,0.2045,1095.08,1473.51,0.706,0,moderate
laborer,251.52,21,15,0.0641,200.0,322.17,0.163,0,unstable
street_vendor,570.42,25,15,0.0387,403.8,737.04,0.15,1,unstable
delivery_worker,1597.74,27,25,0.27,1166.48,1800.0,0.535,0,stable
shopkeeper,1644.48,27,56,0.2774,1179.88,2000.0,0.463,0,stable
laborer,525.48,26,9,0.0311,431.07,619.9,0.118,0,unstable
delivery_worker,865.48,26,35,0.3683,687.64,1043.32,0.566,1,moderate
shopkeeper,1233.12,24,41,0.2766,910.48,1555.75,0.558,1,stable
driver,1587.07,27,34,0.1947,1126.15,1600.0,0.65,0,stable
street_vendor,617.52,27,20,0.1252,477.18,757.86,0.27,1,moderate
laborer,385.63,10,11,0.0242,335.71,435.56,0.17,0,unstable
driver,1266.69,25,46,0.2035,1065.43,1467.95,0.595,0,moderate
shopkeeper,1867.75,24,59,0.0995,1318.27,2000.0,0.252,1,moderate
shopkeeper,705.28,25,28,0.1637,700.0,877.34,0.631,0,moderate
driver,1572.83,16,27,0.1023,1213.59,1600.0,0.505,0,moderate
driver,500.94,20,34,0.0898,500.0,570.79,0.476,0,moderate
delivery_worker,778.35,25,30,0.1873,637.47,919.23,0.755,0,moderate
driver,960.37,21,30,0.0849,791.06,1129.68,0.557,0,moderate
shopkeeper,1662.67,24,55,0.1637,1219.57,2000.0,0.597,1,stable
laborer,266.25,21,3,0.0993,200.0,338.78,0.026,0,unstable
delivery_worker,1707.87,29,43,0.1177,1333.38,1800.0,0.762,0,stable
street_vendor,710.1,24,21,0.1379,530.98,889.21,0.115,0,moderate
delivery_worker,1531.36,25,31,0.1061,1086.21,1800.0,0.728,0,moderate
laborer,204.89,16,11,0.0011,200.0,257.35,0.097,0,unstable
laborer,482.82,22,12,0.0263,358.99,606.65,0.155,0,unstable
street_vendor,829.09,29,20,0.0,716.8,900.0,0.146,0,moderate
delivery_worker,1190.91,18,43,0.1424,867.85,1513.97,0.732,0,moderate
shopkeeper,857.36,23,31,0.1156,733.63,981.1,0.446,0,moderate
street_vendor,426.91,18,21,0.0989,341.36,512.45,0.184,0,unstable
street_vendor,370.45,30,28,0.1375,267.97,472.93,0.313,0,moderate
street_vendor,621.09,30,7,0.1031,465.42,776.76,0.05,1,moderate
delivery_worker,1300.85,23,40,0.2875,1015.84,1585.85,0.729,0,stable
laborer,449.31,18,13,0.0358,349.7,548.92,0.111,0,unstable
laborer,474.96,20,7,0.0846,401.85,548.07,0.152,0,unstable
driver,687.0,24,38,0.1032,500.0,880.06,0.522,0,moderate
driver,983.75,24,23,0.1707,748.17,1219.32,0.691,0,moderate
laborer,527.92,16,4,0.0129,458.75,597.08,0.165,0,unstable
laborer,482.74,16,5,0.0752,412.65,552.82,0.057,0,unstable
shopkeeper,709.27,27,42,0.1947,700.0,876.9,0.733,1,moderate
street_vendor,704.88,15,18,0.0036,527.94,881.82,0.155,0,unstable
delivery_worker,1346.98,22,47,0.2193,1084.05,1609.91,0.895,0,stable
driver,948.82,23,42,0.0581,667.62,1230.01,0.381,0,moderate
laborer,551.99,23,14,0.0463,413.62,690.36,0.04,0,unstable
delivery_worker,892.59,19,35,0.1382,741.01,1044.17,0.534,0,moderate
delivery_worker,1236.49,30,46,0.1658,1014.73,1458.26,0.566,1,stable
shopkeeper,1986.9,25,44,0.2272,1677.39,2000.0,0.291,1,stable
street_vendor,484.32,26,17,0.175,377.17,591.47,0.319,1,moderate
street_vendor,360.81,25,18,0.0229,316.99,404.64,0.146,0,unstable
delivery_worker,1778.99,22,40,0.201,1545.33,1800.0,0.926,1,stable
laborer,232.45,10,8,0.0284,200.0,273.74,0.131,1,unstable
driver,1011.2,21,29,0.1019,786.82,1235.57,0.538,1,moderate
street_vendor,439.78,28,22,0.0653,393.88,485.68,0.257,1,moderate
street_vendor,613.81,20,20,0.0599,442.9,784.72,0.186,0,unstable
shopkeeper,1805.66,27,51,0.0811,1288.66,2000.0,0.49,0,stable
street_vendor,535.61,20,13,0.1593,381.96,689.27,0.202,0,unstable
driver,690.03,24,27,0.0771,503.36,876.7,0.338,0,moderate
driver,1236.72,22,43,0.1474,880.24,1593.2,0.581,0,moderate
driver,950.98,24,31,0.0577,696.4,1205.55,0.661,0,moderate
street_vendor,818.74,19,26,0.1251,653.56,900.0,0.329,0,unstable
laborer,269.19,19,9,0.0692,200.0,341.87,0.113,0,unstable
street_vendor,593.45,30,16,0.0785,416.19,770.72,0.307,0,moderate
delivery_worker,1093.98,29,54,0.1327,960.99,1226.97,0.915,1,stable
driver,890.76,22,30,0.2396,774.25,1007.26,0.577,1,moderate
laborer,564.75,27,12,0.0616,440.27,689.23,0.161,0,moderate
shopkeeper,1905.34,24,52,0.3367,1337.57,2000.0,0.264,1,stable
delivery_worker,680.59,24,16,0.1814,600.0,848.16,0.548,0,moderate
laborer,360.51,23,17,0.1053,305.33,415.69,0.069,0,unstable
driver,752.25,17,35,0.2171,653.13,851.37,0.391,1,moderate
driver,1422.24,25,19,0.1514,1059.11,1600.0,0.309,1,moderate
delivery_worker,689.81,21,25,0.0334,600.0,824.34,0.52,1,unstable
shopkeeper,1683.43,24,67,0.3499,1390.88,1975.98,0.725,1,stable
delivery_worker,639.5,19,10,0.0789,600.0,781.2,0.79,0,moderate
laborer,517.04,19,16,0.1359,374.96,659.13,0.102,0,unstable
delivery_worker,619.57,23,53,0.1767,600.0,703.09,0.625,0,moderate
laborer,372.48,21,8,0.0085,327.43,417.54,0.122,0,unstable
street_vendor,334.76,20,3,0.0538,253.79,415.74,0.342,0,unstable
laborer,525.09,30,12,0.1594,459.23,590.95,0.023,0,moderate
shopkeeper,1626.11,27,71,0.3664,1425.95,1826.28,0.591,1,stable
street_vendor,638.55,30,18,0.0466,538.84,738.26,0.227,0,moderate
delivery_worker,788.12,26,49,0.2315,600.0,1001.37,0.627,1,moderate
street_vendor,834.21,24,14,0.0931,690.76,900.0,0.243,0,moderate
laborer,592.42,18,15,0.0272,519.89,664.94,0.095,0,unstable
street_vendor,715.02,25,14,0.0855,641.3,788.74,0.137,0,unstable
laborer,371.44,25,12,0.0,310.03,432.86,0.182,0,unstable
delivery_worker,824.03,25,41,0.1643,603.43,1044.64,0.744,0,moderate
driver,1028.19,21,29,0.0568,802.2,1254.18,0.629,1,moderate
delivery_worker,1415.34,21,29,0.1561,1146.09,1684.59,0.801,0,moderate
delivery_worker,1025.55,24,36,0.116,913.56,1137.55,0.832,1,moderate
shopkeeper,1447.11,25,40,0.2792,1182.13,1712.1,0.31,1,stable
driver,1204.81,26,38,0.0298,888.32,1521.29,0.385,1,moderate
driver,522.3,25,26,0.2092,500.0,654.78,0.443,1,moderate
street_vendor,880.33,26,24,0.0412,666.0,900.0,0.073,0,moderate
shopkeeper,1257.79,24,38,0.2429,1127.58,1388.01,0.371,1,stable
shopkeeper,1867.71,24,68,0.1619,1506.45,2000.0,0.705,1,stable
laborer,424.12,25,7,0.0152,329.9,518.34,0.192,0,unstable
shopkeeper,970.79,24,38,0.1467,736.44,1205.13,0.69,1,moderate
laborer,232.2,15,11,0.1405,200.0,267.92,0.173,1,unstable
delivery_worker,1580.82,23,32,0.3082,1348.47,1800.0,0.552,0,stable
street_vendor,352.43,29,11,0.0466,304.74,400.13,0.053,0,unstable
delivery_worker,1114.37,23,39,0.136,950.81,1277.94,0.855,0,moderate
street_vendor,802.56,23,19,0.0,720.76,884.35,0.157,0,moderate
shopkeeper,1670.34,25,41,0.4,1171.86,2000.0,0.295,0,stable
delivery_worker,1261.84,28,17,0.1249,958.88,1564.8,0.856,1,moderate
delivery_worker,697.96,23,14,0.207,600.0,809.42,0.52,0,moderate
street_vendor,867.01,26,26,0.0406,731.87,900.0,0.197,0,moderate
driver,820.35,19,47,0.132,605.83,1034.88,0.395,0,moderate
driver,849.77,24,35,0.2452,675.33,1024.22,0.771,0,moderate
driver,663.25,18,10,0.1743,506.76,819.74,0.329,1,unstable
street_vendor,832.24,27,17,0.014,745.53,900.0,0.224,0,moderate
shopkeeper,919.18,22,58,0.2351,823.85,1014.51,0.303,1,moderate
laborer,385.11,22,8,0.1276,284.31,485.92,0.086,0,unstable
driver,683.22,24,38,0.1281,608.22,758.23,0.677,0,moderate
driver,1129.35,23,34,0.1184,987.08,1271.63,0.782,0,moderate
laborer,522.22,30,14,0.126,431.16,613.27,0.091,0,moderate
laborer,403.51,11,8,0.0577,316.84,490.17,0.032,0,unstable
laborer,642.46,27,11,0.0429,481.17,700.0,0.034,0,unstable
shopkeeper,1019.42,22,38,0.3336,915.62,1123.21,0.671,1,stable
laborer,414.92,20,10,0.0323,361.13,468.71,0.032,0,unstable
shopkeeper,1400.82,23,51,0.3299,1205.1,1596.53,0.481,1,stable
shopkeeper,1640.98,25,48,0.3568,1415.58,1866.37,0.477,0,stable
street_vendor,696.02,26,16,0.0817,621.84,770.21,0.268,0,moderate
shopkeeper,1688.69,25,61,0.2641,1274.73,2000.0,0.573,1,stable
street_vendor,530.34,22,21,0.1075,401.28,659.39,0.224,1,unstable
delivery_worker,1396.43,24,45,0.2308,980.08,1800.0,0.594,0,stable
driver,1078.37,20,28,0.0278,778.73,1378.0,0.658,0,moderate
shopkeeper,1598.27,25,68,0.199,1154.93,2000.0,0.672,0,stable
shopkeeper,1360.11,23,60,0.3693,1053.85,1666.37,0.619,0,stable
delivery_worker,1256.54,24,33,0.1743,909.32,1603.76,0.88,0,moderate
delivery_worker,1619.11,26,36,0.2189,1412.33,1800.0,0.559,0,stable
driver,1478.0,24,18,0.0035,1204.41,1600.0,0.341,0,moderate
street_vendor,808.43,30,20,0.1103,566.24,900.0,0.245,0,moderate
driver,1413.87,18,17,0.2497,1007.11,1600.0,0.328,0,moderate
street_vendor,429.74,26,19,0.0703,346.56,512.92,0.166,1,unstable
delivery_worker,1046.91,28,40,0.2101,918.97,1174.85,0.558,1,stable
driver,1101.74,22,23,0.2533,874.15,1329.34,0.356,1,moderate
shopkeeper,1243.09,23,39,0.221,1079.14,1407.04,0.273,1,moderate
delivery_worker,897.48,27,38,0.2377,790.61,1004.34,0.892,0,moderate
shopkeeper,1692.22,27,36,0.1821,1317.09,2000.0,0.593,0,stable
street_vendor,527.15,12,16,0.0867,398.14,656.16,0.16,0,unstable
shopkeeper,1836.55,20,53,0.2019,1328.61,2000.0,0.421,1,stable
shopkeeper,1644.78,25,43,0.1452,1380.07,1909.49,0.565,0,stable
laborer,566.87,25,5,0.0402,408.47,700.0,0.077,0,unstable
laborer,556.95,25,7,0.0978,499.79,614.1,0.166,0,moderate
delivery_worker,1418.62,27,40,0.2011,1152.02,1685.22,0.591,1,moderate
street_vendor,685.49,20,10,0.0165,490.16,880.82,0.313,1,unstable
laborer,218.99,25,7,0.0364,200.0,250.02,0.032,0,unstable
driver,680.7,26,21,0.0991,500.0,873.2,0.587,0,moderate
street_vendor,738.11,20,15,0.1774,552.43,900.0,0.317,0,moderate
driver,1589.22,21,27,0.2664,1169.86,1600.0,0.575,0,stable
street_vendor,397.86,26,18,0.0487,343.44,452.28,0.257,0,moderate
